what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859187496
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1560859200453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859213211
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859221250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859222746
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859224643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859234845
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859236316
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859237239
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859238440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859239315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859240624
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1560859245184
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1560859245208
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859247246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859284294
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1560859288104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859288205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859290457
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1560859291966
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1560859291979
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1560859292293
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1560859292544
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1560859292700
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1560859292985
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1560859292986
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1560859293053
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1560859293056
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1560859293316
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1560859293496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859293532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859298028
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560859298746
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1560859304526
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1560859307983
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859316730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859882078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859884309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859885636
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560859885896
